"id","type","category","title","text","value"
"lorem_ipsum","code","Text","Lorem ipsum","Lorem katzum dolor sit ameow, consectetuer adipiscing whisker. Aenean grrr commodo ligula eget dolor. Aenean meow. Cum sociis natoque penatibus et magnis dis purrturient montes, whisker nascetur ridiculus mus. Donec quam furry, felis, whisker congregatis eget, purr quis, meow.
",""
"phone","code","Info","Telefonen:Phone","+## ### ########",""
"popup","code","Link","Popupen:Pop-up","<a href=""%url%""[ title=""%title%""] onclick=""window.open(this.href);return false;"">%text%</a>","url,text,title"
"shariff","code","Widget","Shariff Share-Buttons","<script>
load_css(""3rdparty/shariff-3.2.1/shariff.complete.css"");
load_script(""3rdparty/shariff-3.2.1/shariff.complete.js"");
</script>

<div class=""shariff"" data-services=""[&quot;twitter&quot;,&quot;facebook&quot;]"" data-theme=""white""[ data-title=""%title%""][ data-url=""%url%""]></div>","title,url"
"sitename","code","Info","Sitenameen:Site name","Website Titelen:Website title",""
"sub","code","Text","Tiefergestellten:Subscript","<sub>%text%</sub>","text"
"sup","code","Text","Hochgestellten:Superscript","<sup>%text%</sup>","text"
"tracking_code","code","Info","Tracking-Codeen:Tracking code","<!--

Replace this comment with a tracking code or delete it to disable the confirmation prompt on the website.

Ersetzen Sie diesen Kommentar durch einen Tracking-Code oder löschen Sie ihn, um die Bestätigungsaufforderung auf der Website abzuschalten.

-->",""
"vertical_space","code","[ ... ]","Vertikaler Abstanden:Vertical space","<img src=""data:image/svg+xml,%3Csvg%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%20width%3D%220%22%20height%3D%22%pixel%%22%3E%3C%2Fsvg%3E"" alt="""">","pixel"
"white","code","Text","Weiss","<span style=""COLOR:white"">%text%</span>","text"
"youtube","code","Widget","Youtube-Videoen:Youtube video","<div style=""ASPECT-RATIO:16/9"">

  <iframe src=""https://www.youtube-nocookie.com/embed/%v_parameter%""
          allow=""accelerometer;autoplay;clipboard-write;encrypted-media;fullscreen;gyroscope;picture-in-picture;web-share""
          referrerpolicy=""strict-origin-when-cross-origin""
          allowfullscreen
          title=""YouTube""
          style=""HEIGHT:100%;POSITION:absolute;WIDTH:100%"">

    <a href=""http://youtu.be/%v_parameter%"" onclick=""window.open(this.href,'_blank');return false;"">Video anzeigen</a>

  </iframe>

</div>","v_parameter"
